slug,ref,filename,n_cells,n_code_cells,n_md_cells,n_md_chars,n_code_chars,first_md,config_lb_max,config_lb_list,n_config_lb,lb_prefix_max,n_lb_prefix,bare_score_max,bare_score_min,n_bare_scores,best_score,feat__uses_perch,feat__uses_perch_v2,feat__uses_birdnet,feat__uses_sed,feat__uses_protossm,feat__uses_residual_ssm,feat__uses_efficientnet,feat__uses_hgnet,feat__uses_convnext,feat__uses_resnet,feat__uses_passt,feat__uses_beats,feat__uses_mae,feat__uses_tucker,feat__uses_mlp_probes,feat__uses_train_audio,feat__aug_mixup,feat__aug_cutmix,feat__aug_specaugment,feat__aug_time_shift,feat__aug_flip,feat__aug_clipping,feat__aug_gain,feat__loss_focal,feat__loss_bce,feat__loss_softauc,feat__ssl_pseudo,feat__ssl_iterative,feat__tweak_A_per_class,feat__tweak_C_residual,feat__tweak_D_hour_smooth,feat__tweak_E_wide_mlp,feat__tweak_F_flip_tta,feat__tweak_G_birdnet_weight,feat__sonotype_mirror,feat__site_hour_prior,feat__rank_aware,feat__file_confidence,feat__adaptive_delta,feat__uses_onnx,feat__uses_torch,feat__uses_tf,feat__val_groupkfold,feat__val_stratified,feat__ext_data,n_fork_refs,fork_refs,num__n_windows,num__window_sec,num__rank_power,num__n_classes,num__lambda_prior,num__file_conf_power,num__alpha_blend,num__correction_weight,num__lambda_in_apply_prior,num__ensemble_w_mapped,title_score
aadigupta1601__bird-clef-2026-inference,aadigupta1601/bird-clef-2026-inference,bird-clef-2026-inference.ipynb,13,13.0,0.0,0.0,5775,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,
aadigupta1601__birdclef-2026-inference,aadigupta1601/birdclef-2026-inference,birdclef-2026-inference.ipynb,1,1.0,0.0,0.0,16375,,,,0,,0,,,0,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,,12,5,,,,,,,,,
abdulrehmanyousafzai__birdclef-2026,abdulrehmanyousafzai/birdclef-2026,birdclef-2026.ipynb,16,8.0,8.0,203.0,10269,# Preparing Training Data from Metadata File,,,0,,0,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,
abdulrehmanyousafzai__birdclef-2026-2,abdulrehmanyousafzai/birdclef-2026-2,birdclef-2026-2.ipynb,23,12.0,11.0,293.0,29363,# Loading Datasets,,,0,,0,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.0,,,,,,,,,,,,
abidaakbarrusyadin__nyoba,abidaakbarrusyadin/nyoba,nyoba.ipynb,18,18.0,0.0,0.0,69534,,,,0,,0,,,0,,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,0.0,,12,5,0.5,234,,,,,,,
abidaakbarrusyadin__tugasbirdclef,abidaakbarrusyadin/tugasbirdclef,tugasbirdclef.ipynb,10,10.0,0.0,0.0,17450,,,,0,,0,,,0,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,,,,,,,,,,,,
account1243__train,account1243/train,train.ipynb,20,20.0,0.0,0.0,17954,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,
adarsh5harma__birdclef-2026-v35-gate-fork,adarsh5harma/birdclef-2026-v35-gate-fork,birdclef-2026-v35-gate-fork.ipynb,40,27.0,13.0,9557.0,76049,"# Idea: SED has no temporal context within the 12 windows. Let's strengthen the ProtoSSM weight when it predicts the same class across consecutive windows with a fat-tail distribution.
 Looking forward to the one-parameter public notebook update improving LB in a few hours.",,,0,,0,0.945,0.912,7,0.945,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,0.0,,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v42-fork-0947,adarsh5harma/birdclef-2026-v42-fork-0947,birdclef-2026-v42-fork-0947.ipynb,21,10.0,11.0,2038.0,52310,"# BirdCLEF+ 2026 — Perch + SED Ensemble

A two-stage inference pipeline for passive acoustic monitoring in the Pantanal wetlands.

## Architecture

**Stage 1 — Feature extraction**
- [Google Perch v2](https://huggingface.co/google/bird-vocalization-classifier) (ONNX) produces 1536-d embeddings and logits for 203 of 234 competition species
- 5-fold distilled SED models provide frame-level predictio",,,0,,0,,,0,,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,1.0,mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v44-nina-q4,adarsh5harma/birdclef-2026-v44-nina-q4,birdclef-2026-v44-nina-q4.ipynb,34,18.0,16.0,7509.0,706967,"### [BirdCLEF+ 2026](https://www.kaggle.com/competitions/birdclef-2026/code?competitionId=129329&sortBy=scoreDescending&excludeNonAccessedDatasources=true)

Acoustic Species Identification in the Pantanal, South America
   
| &nbsp;| &nbsp; | &nbsp; | &nbsp; | &nbsp; | &nbsp; | &nbsp; |
| - | :-: | :-: | :-: | :-: | :-: | :-: |
| [Model](#Model_1)_1 <br> [Model](#Model_2)_2 | [0.917](https://www.k",0.947,0.9470|0.9280,2,,0,0.985,0.912,16,0.947,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,11.0,hideyukizushi/bird26-reproduce-perch-protossm-resssm-inf-train|imaadmahmood/birdclef-2026-perch-v2-protossm-0-925|mattiaangeli/birdclef-2026-0-943-better-blend|mattiaangeli/birdclef-protossm-efficientnet-sed-all-public|mtoshidesu/tedbirdclef-2026-improved|nikitababich/birdclef2025-1st-place-inference|nina2025/birdclef-2026-ensemble-of-solutions-3|nina2025/birdclef-2026-onnx-perch-proto-sed,12,5,0.5,,0.4,0.4,0.4,0.35,0.4,,
