n_inputs,input_slugs,n_notebooks_used,notebooks_used,n_datasets_used,datasets_used,n_models_used,models_used,competitions_used,slug,ref
3,competitions|datasets|models,0,,1,aadigupta1601/openvino-library,1,aadigupta1601/birdclef-models,birdclef-2026,aadigupta1601__bird-clef-2026-inference,aadigupta1601/bird-clef-2026-inference
4,competitions|datasets|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,aadigupta2222/artifacts,1,google/bird-vocalization-classifier,birdclef-2026,aadigupta1601__birdclef-2026-inference,aadigupta1601/birdclef-2026-inference
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,adarsh5harma__birdclef-2026-v42-fork-0947,adarsh5harma/birdclef-2026-v42-fork-0947
8,bc2026-distilled-sed|bc2026-distilled-sed-public|birdclef-2026|competitions|datasets|models|notebooks|perch-meta,2,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,adarsh5harma__birdclef-2026-v44-nina-q4,adarsh5harma/birdclef-2026-v44-nina-q4
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,adarsh5harma__birdclef-2026-v45-improved,adarsh5harma/birdclef-2026-v45-improved
5,competitions|datasets|models|notebooks|perch-meta,2,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,adarsh5harma__birdclef-2026-v46-raunak-deep,adarsh5harma/birdclef-2026-v46-raunak-deep
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,adarsh5harma__birdclef-2026-v54-lb-0948-swap,adarsh5harma/birdclef-2026-v54-lb-0948-swap
5,competitions|datasets|models|notebooks|perch-meta,2,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,adarsh5harma__birdclef-2026-v55-eslam,adarsh5harma/birdclef-2026-v55-eslam
6,birdclef-2026|competitions|datasets|models|notebooks|perch-meta,2,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,adarsh5harma__birdclef-2026-v61-safar-0948-fork,adarsh5harma/birdclef-2026-v61-safar-0948-fork
1,competitions,0,,0,,0,,birdclef-2026,adegbaju__acoustic-species-identification-pipeline,adegbaju/acoustic-species-identification-pipeline
